day,min,max,dtr
1,-2.3,9.2,11.5
2,-5,3.5,8.5
3,-9.4,1.2,10.6
4,-10.7,2,12.7
5,-9.2,2.3,11.5
6,-9.7,3.6,13.3
7,-8.2,0.2,8.4
8,-8.1,3.1,11.2
9,-8.9,6.8,15.7
10,-6.1,13,19.1
11,-4.4,7,11.4
12,1.9,11.4,9.5
13,-2.4,17.4,19.8
14,4.2,10.3,6.1
15,0.5,8.1,7.6
16,-0.9,4.8,5.7
17,-1.1,9.8,10.9
18,-3.6,10.7,14.3
19,-2.9,8.5,11.4
20,-5.1,10,15.1
21,-0.8,8.4,9.2
22,1.5,10.3,8.8
23,-2.6,9.3,11.9
24,-7.1,11.5,18.6
25,1.2,14.6,13.4
26,1.4,12.6,11.2
27,-3,15.2,18.2
28,-0.8,11.7,12.5
29,0.1,11.8,11.7
30,2.5,14.4,11.9
31,-2.6,16.5,19.1
32,0.3,16.7,16.4
33,0,18.6,18.6
34,1.3,19.1,17.8
35,1,19.6,18.6
36,2.1,13.3,11.2
37,-2.1,13.1,15.2
38,4.5,10.4,5.9
39,1.3,11.9,10.6
40,-1.8,14.3,16.1
41,-2.6,18.4,21
42,0.8,21.5,20.7
43,4.2,16.5,12.3
44,0.1,18.9,18.8
45,1.8,14.5,12.7
46,-1.1,19.8,20.9
47,3.6,18.9,15.3
48,3.4,23.4,20
49,2.5,12.5,10
50,1.3,14,12.7
51,-1,19.3,20.3
52,3.8,15.9,12.1
53,-1,15,16
54,-0.2,13.3,13.5
55,-0.3,15.5,15.8
56,0.4,19.3,18.9
57,4.2,21.2,17
58,4.4,25.1,20.7
59,6.1,26,19.9
60,11.6,25.1,13.5
61,11.4,25.8,14.4
62,9.7,23.6,13.9
63,3.7,24.6,20.9
64,9.1,23.3,14.2
65,8,23.4,15.4
66,4.1,23.6,19.5
67,1.6,26.2,24.6
68,9.6,20,10.4
69,6.7,19.4,12.7
70,8.5,16.4,7.9
71,10.1,20.6,10.5
72,10,20.8,10.8
73,6,21.2,15.2
74,2.8,25.5,22.7
75,11.1,19.9,8.8
76,8.8,22.4,13.6
77,8.9,26,17.1
78,12.5,25.2,12.7
79,9.1,29.2,20.1
80,13,30.2,17.2
81,13.8,27,13.2
82,13.6,27.2,13.6
83,10.5,18.6,8.1
84,11.1,19.4,8.3
85,11.5,22.8,11.3
86,9,26.6,17.6
87,9.1,26.8,17.7
88,11.6,25.2,13.6
89,10.8,28,17.2
90,8.4,29,20.6
91,12.2,24.9,12.7
92,14.6,23.8,9.2
93,14.9,18.2,3.3
94,16.7,23.8,7.1
95,15.6,23.6,8
96,15.1,22.2,7.1
97,15.2,26.4,11.2
98,13.9,27.6,13.7
99,11.3,30.1,18.8
100,21.1,27,5.9
101,18.2,27.5,9.3
102,17,28.7,11.7
103,17,29.3,12.3
104,17.1,30.2,13.1
105,12.5,30.5,18
106,13.8,31,17.2
107,14.7,31.9,17.2
108,17.2,23.8,6.6
109,17.2,27.1,9.9
110,16.3,29.3,13
111,18.2,26,7.8
112,16.4,28.9,12.5
113,15.2,28.5,13.3
114,14.6,25.9,11.3
115,17.4,22.1,4.7
116,18.8,26.5,7.7
117,13.9,29.6,15.7
118,12.7,28.9,16.2
119,15.1,30.5,15.4
120,17.8,29.3,11.5
121,19.4,23.2,3.8
122,18.6,29.4,10.8
123,16.9,32.6,15.7
124,20.4,29.7,9.3
125,21.8,30,8.2
126,18.4,28.4,10
127,19.7,29.2,9.5
128,21.4,32.1,10.7
129,20.8,33.5,12.7
130,18.4,31.9,13.5
131,24.3,31,6.7
132,22.9,27.8,4.9
133,20.4,26.2,5.8
134,22.7,29.5,6.8
135,22.5,26.5,4
136,21.7,25.6,3.9
137,22.5,28.4,5.9
138,22.6,27.2,4.6
139,20.4,24.5,4.1
140,20.9,26.4,5.5
141,22,28.2,6.2
142,23.6,27.5,3.9
143,20,26,6
144,20.4,23.2,2.8
145,20,25,5
146,20.7,25,4.3
147,17.4,24.1,6.7
148,17.4,19.3,1.9
149,17.7,25.2,7.5
150,18.8,25.9,7.1
151,17.2,26.4,9.2
152,13.5,27.2,13.7
153,13.1,31,17.9
154,15.6,31.4,15.8
155,16.5,32.7,16.2
156,20.9,33.8,12.9
157,18.6,34.2,15.6
158,22,34,12
159,22.1,33.5,11.4
160,22.5,33,10.5
161,20.3,33.6,13.3
162,20.4,33.8,13.4
163,21.2,34.7,13.5
164,18.2,33,14.8
165,19.2,31.8,12.6
166,20,33.2,13.2
167,20.1,31.2,11.1
168,20.6,29.6,9
169,21.4,27.9,6.5
170,23.1,29.7,6.6
171,20.3,31.7,11.4
172,19.9,31.6,11.7
173,21,31.5,10.5
174,22.6,29.8,7.2
175,20.8,28.2,7.4
176,17.2,24.8,7.6
177,15.8,29.8,14
178,16.5,30.9,14.4
179,15.9,27.2,11.3
180,18.6,23,4.4
181,18,25.6,7.6
182,14.3,26.2,11.9
183,15.6,27.2,11.6
184,16.8,28.5,11.7
185,15.5,29,13.5
186,17.5,22.8,5.3
187,14.5,24,9.5
188,17.2,27.6,10.4
189,19.8,25,5.2
190,17.1,28.6,11.5
191,15.3,30.4,15.1
192,16.3,31,14.7
193,14.9,31.6,16.7
194,16.5,23,6.5
195,16.5,20.1,3.6
196,14.9,25.5,10.6
197,14,27.6,13.6
198,12.6,25.9,13.3
199,13.6,23.6,10
200,12.6,27.4,14.8
201,13.5,27,13.5
202,11,28,17
203,12.9,26.7,13.8
204,11.2,25.6,14.4
205,8.9,27,18.1
206,9.1,27.7,18.6
207,9.3,27.3,18
208,13.5,26.5,13
209,10,23.2,13.2
210,8.6,20.3,11.7
211,6.1,21,14.9
212,7,24.8,17.8
213,6.5,23.8,17.3
214,8.1,24.3,16.2
215,6.2,23.5,17.3
216,9.9,24.6,14.7
217,8.7,25.6,16.9
218,10.2,24.2,14
219,12.6,20,7.4
220,6.4,20.6,14.2
221,4.4,23.4,19
222,5.8,21.8,16
223,3.8,23.2,19.4
224,5.2,26.6,21.4
225,9.7,21.3,11.6
226,4.5,17,12.5
227,0.2,13.3,13.1
228,3.1,20.6,17.5
229,4.7,21.4,16.7
230,4.6,22.9,18.3
231,10.3,21.5,11.2
232,4,20.8,16.8
233,0.2,22.1,21.9
234,4.6,17.2,12.6
235,5.7,20.1,14.4
236,4,22,18
237,1.7,21.9,20.2
238,11.3,18.8,7.5
239,7.3,20.4,13.1
240,3.5,22.5,19
241,1.5,20.5,19
242,1.6,16.5,14.9
243,-2.7,15,17.7
244,-4.2,14.9,19.1
245,-3.8,15.8,19.6
246,-1.4,16.8,18.2
247,-2.3,13.4,15.7
248,-1.8,14,15.8
249,-4,14.4,18.4
250,-1.8,15.3,17.1
251,-5.1,15.4,20.5
252,-0.3,18.2,18.5
253,-3.9,19,22.9
254,-3.8,15.8,19.6
255,-4,6.8,10.8
256,-4.8,13.5,18.3
257,-2.7,16.4,19.1
258,0.1,16.1,16
259,-4,10,14
260,-6,13.4,19.4
261,-3.8,9.5,13.3
262,-6.1,7.6,13.7
263,-7.2,8.6,15.8
264,-2.6,7.6,10.2
265,-3.6,12.4,16
266,-2.6,14.1,16.7
267,-3.7,16,19.7
268,-1.4,9.6,11
269,-2.4,1.4,3.8
270,-7.9,1.3,9.2
271,-5.5,1.2,6.7
272,-6.4,2.7,9.1
273,-8.2,6.7,14.9
274,-8.1,7,15.1
275,-4.4,7.5,11.9
276,-6.4,8.5,14.9
277,-8.3,9.9,18.2
278,-7,8.6,15.6
279,-2.2,4,6.2
280,-7.4,1,8.4
281,-8.7,8.6,17.3
282,-2,15.2,17.2
283,0.3,9.4,9.1
284,-6.7,3.6,10.3
285,-7,0.9,7.9
286,-7.2,5.3,12.5
287,-6.2,10.8,17
288,-4.3,12.6,16.9
289,-5.9,3.4,9.3
290,-10,-3.2,6.8
291,-13.6,-3.8,9.8
292,-9.7,1.9,11.6
293,-0.2,5.3,5.5
294,-0.4,3.7,4.1
295,-2.6,7.2,9.8
296,-7.1,4.6,11.7
297,-10,2.8,12.8
298,-10.5,8.2,18.7
299,-2.7,6,8.7
300,-9.8,1.2,11
301,-11.5,2.9,14.4
302,-10.9,3.3,14.2
303,-9,3.4,12.4
304,-7,3.9,10.9
305,-10,4.3,14.3
306,-8.6,0.8,9.4
307,-8,3.6,11.6
308,-10.8,3.8,14.6
309,-7.5,5,12.5
310,-11.2,3,14.2
311,-13.6,8.3,21.9
312,-6,5.8,11.8
313,4.3,8.1,3.8
314,5.9,12.5,6.6
315,5.4,10.4,5
316,5.3,8.4,3.1
317,2.8,8.2,5.4
318,1.2,3.2,2
319,-4,2.1,6.1
320,-9.6,1.4,11
321,-7.4,2.9,10.3
322,-8,4.4,12.4
323,-8.2,8.6,16.8
324,-4.6,2.7,7.3
325,0.7,4.8,4.1
326,2.2,3.8,1.6
327,-2.8,7.5,10.3
328,-3.6,7.4,11
329,1,7.4,6.4
330,0,3.3,3.3
331,-3.6,4.6,8.2
332,-3.8,5.7,9.5
333,-9.3,-3.8,5.5
334,-14.9,-2.7,12.2
335,-14.6,1.6,16.2
336,-12.1,5.1,17.2
337,-8.9,2,10.9
338,-6.4,0.4,6.8
339,-9.4,-1.7,7.7
340,-13.3,1.7,15
341,-11.5,6.8,18.3
342,-10.3,8.3,18.6
343,-9.1,8.4,17.5
344,-8.9,10.4,19.3
345,0.3,3.2,2.9
346,-2.2,4.6,6.8
347,-6.1,3.5,9.6
348,-9.8,3.6,13.4
349,-9.3,8,17.3
350,-4.6,8.4,13
351,-7.1,11.2,18.3
352,-4.8,9.6,14.4
353,2.9,11.8,8.9
354,2.2,7.5,5.3
355,0.9,7.3,6.4
356,-3.1,12.7,15.8
357,-0.9,9.8,10.7
358,-3.7,6.7,10.4
359,-8.2,7.6,15.8
360,-1.7,7,8.7
361,2.4,6,3.6
362,0.2,4,3.8
363,-2.2,8.6,10.8
364,-4.7,12.7,17.4
365,2.5,12.5,10
366,-3.2,10.1,13.3
367,1.6,7.8,6.2
368,6.5,10.7,4.2
369,1.8,9,7.2
370,-1.8,3.8,5.6
371,-3.6,1.7,5.3
372,-4,0.7,4.7
373,-8.8,4.8,13.6
374,-6.2,7.5,13.7
375,-5.5,11.8,17.3
376,-0.5,12.1,12.6
377,-2.7,12.4,15.1
378,-0.4,15.9,16.3
379,1.1,14.2,13.1
380,-2.6,12,14.6
381,-4.2,9.2,13.4
382,-5.5,12.3,17.8
383,-5.4,14.5,19.9
384,-3.4,16.8,20.2
385,1.8,14.6,12.8
386,0.3,12.6,12.3
387,-3.8,15.2,19
388,-0.5,10.8,11.3
389,0.1,5,4.9
390,0.2,12.6,12.4
391,-1.5,14.4,15.9
392,3.8,13.3,9.5
393,0.8,12.7,11.9
394,-3,15.4,18.4
395,-3.2,17.6,20.8
396,7,16.9,9.9
397,0.1,17.4,17.3
398,-1.8,20.1,21.9
399,0.5,19.9,19.4
400,-1,19.9,20.9
401,0.9,21.5,20.6
402,0.6,24.3,23.7
403,3.6,21.8,18.2
404,4,20.6,16.6
405,0.4,21.3,20.9
406,1.1,14.3,13.2
407,-3.4,15.9,19.3
408,-1.3,21.1,22.4
409,1,25.1,24.1
410,7.7,19.8,12.1
411,10.6,19.3,8.7
412,6.5,12.3,5.8
413,2.5,17.6,15.1
414,5.7,23.1,17.4
415,12.5,27,14.5
416,9.6,26.5,16.9
417,7.7,28.1,20.4
418,9.3,22.9,13.6
419,9.8,22.9,13.1
420,8.6,22.4,13.8
421,2.2,22,19.8
422,0,21.2,21.2
423,7.5,19.4,11.9
424,5.2,18.6,13.4
425,-0.6,22.7,23.3
426,4.1,22.5,18.4
427,5.3,26.5,21.2
428,5.2,27.8,22.6
429,4.4,26.9,22.5
430,6.5,28.1,21.6
431,9.9,25,15.1
432,9,23.8,14.8
433,4.5,27,22.5
434,9.7,22.4,12.7
435,12.2,22,9.8
436,10.1,24.2,14.1
437,13.4,18.5,5.1
438,10.2,21.9,11.7
439,8.4,18,9.6
440,7.7,12.1,4.4
441,3.6,21.6,18
442,6.4,22,15.6
443,6.7,25,18.3
444,8.8,26,17.2
445,12.9,26.3,13.4
446,14.6,22.8,8.2
447,12.9,25.6,12.7
448,11.7,25.1,13.4
449,12.5,25.1,12.6
450,10.7,26.2,15.5
451,10.1,14.8,4.7
452,8.9,25.3,16.4
453,12.1,27.8,15.7
454,12,26.9,14.9
455,12.7,23.1,10.4
456,10.4,25.7,15.3
457,9.2,28,18.8
458,11,29.5,18.5
459,10.3,28.3,18
460,10.5,30.9,20.4
461,13,27.4,14.4
462,17.6,22.1,4.5
463,15.1,27.3,12.2
464,14.5,29.4,14.9
465,14.4,22.8,8.4
466,14.6,18.2,3.6
467,13.6,20.9,7.3
468,9,26.1,17.1
469,12.7,26.3,13.6
470,15.2,27.6,12.4
471,17.4,21.2,3.8
472,16.5,21.2,4.7
473,16,25.4,9.4
474,14.9,24.2,9.3
475,11.4,23.5,12.1
476,12.6,24.4,11.8
477,11.3,24.6,13.3
478,11.3,26.7,15.4
479,12.8,28,15.2
480,14.6,28.1,13.5
481,18.2,22.7,4.5
482,16.9,28.6,11.7
483,18,25.2,7.2
484,17,23.6,6.6
485,16.7,27.5,10.8
486,17.9,31.1,13.2
487,15.6,28.4,12.8
488,18.2,24.8,6.6
489,18,24.1,6.1
490,12,23.9,11.9
491,13.6,27.8,14.2
492,14.1,29.7,15.6
493,14.5,29.5,15
494,13.4,30.5,17.1
495,15.8,26,10.2
496,18.8,24.7,5.9
497,19.7,28,8.3
498,20,26.7,6.7
499,19.3,26.1,6.8
500,18,29.2,11.2
501,16.9,31.3,14.4
502,18.7,24.8,6.1
503,19.6,22,2.4
504,19.2,31.3,12.1
505,21.4,31.9,10.5
506,22.3,33.4,11.1
507,22,32.4,10.4
508,21.9,31.5,9.6
509,21.1,32.5,11.4
510,21.9,32.2,10.3
511,21.7,31,9.3
512,23.1,27.6,4.5
513,20.6,25.9,5.3
514,18,21,3
515,19.4,28.6,9.2
516,22.9,26.7,3.8
517,21.9,32.5,10.6
518,20.5,32.2,11.7
519,18.2,29.9,11.7
520,16.5,28,11.5
521,18.9,29,10.1
522,19.5,31.8,12.3
523,18.7,32.4,13.7
524,17.5,32.9,15.4
525,20.4,31.1,10.7
526,23.2,31.1,7.9
527,21.2,31.1,9.9
528,19,29.8,10.8
529,16.7,29.8,13.1
530,23.2,29.7,6.5
531,23.1,32.7,9.6
532,20.2,31.7,11.5
533,16.3,29.6,13.3
534,14.1,30,15.9
535,14.2,29.6,15.4
536,18.8,28.9,10.1
537,16.3,28.7,12.4
538,22.6,28.8,6.2
539,21.5,24.6,3.1
540,21.1,25.2,4.1
541,20.4,28.8,8.4
542,18.1,28.7,10.6
543,15.8,27.9,12.1
544,17.1,28.6,11.5
545,16.3,29.3,13
546,17.7,29.4,11.7
547,18,23.4,5.4
548,18.9,23.2,4.3
549,16.4,28.7,12.3
550,16.4,27.7,11.3
551,13.8,27,13.2
552,12,25.8,13.8
553,12.3,27.4,15.1
554,17,28.3,11.3
555,15.5,28.4,12.9
556,14.7,27.5,12.8
557,15.1,26.5,11.4
558,17.4,20.3,2.9
559,15.9,26.4,10.5
560,19,23.4,4.4
561,16.4,24.7,8.3
562,14.6,23.4,8.8
563,17.3,19.6,2.3
564,18,20.9,2.9
565,18.6,25.3,6.7
566,19.2,27,7.8
567,17.1,25,7.9
568,10.9,25.1,14.2
