day,min,max,dtr
1,-3.9,8.8,12.7
2,1.8,17.7,15.9
3,9.2,23.9,14.7
4,15.9,27.4,11.5
5,19.3,27.5,8.2
6,20,30.8,10.8
7,13.3,25.8,12.5
8,4.8,20,15.2
9,-1.8,10.7,12.5
10,3.5,20.9,17.4
11,9.5,24.1,14.6
12,13.8,25.9,12.1
13,18.9,28.3,9.4
14,18.7,29.2,10.5
15,13.9,24.8,10.9
16,4,18.6,14.6
17,-0.4,11.7,12.1
18,3.1,16.5,13.4
19,9.7,21.4,11.7
20,16,25.4,9.4
21,20.8,29,8.2
22,20.4,31.5,11.1
23,14.5,25.5,11
24,5.1,20.6,15.5
25,-1.7,9.8,11.5
26,2.6,19.9,17.3
27,8.8,23.2,14.4
28,16.4,28,11.6
29,19.4,27.9,8.5
30,18.7,29.5,10.8
31,13.9,25,11.1
32,3.5,19.4,15.9
33,-0.9,12.3,13.2
34,3.2,18.2,15
35,8.4,22.1,13.7
36,13.4,26,12.6
37,19.6,29.3,9.7
38,19.2,28.9,9.7
39,13.6,24.8,11.2
40,4.7,18.1,13.4
41,-3.7,9.6,13.3
42,1.5,16.1,14.6
43,8.7,23.1,14.4
44,15.2,25.2,10
45,16.6,26.1,9.5
46,16.2,25.2,9
47,10.9,24.8,13.9
48,1.6,17.5,15.9
49,-4.4,7.9,12.3
50,3.2,20.7,17.5
51,8.4,22.2,13.8
52,13.3,26.8,13.5
53,21.4,32.2,10.8
54,20.3,30.9,10.6
55,11.1,24.7,13.6
56,4.9,19.2,14.3
57,-2.8,9.5,12.3
58,0.2,17.4,17.2
59,6.6,21.8,15.2
60,13.2,25.3,12.1
61,18.7,27.5,8.8
62,20.4,29,8.6
63,10.7,23.3,12.6
64,4.7,20.3,15.6
65,-4.4,8.2,12.6
66,-0.1,15.4,15.5
67,7.9,23.3,15.4
68,16.1,25.7,9.6
69,18.1,28.4,10.3
70,18.9,29.5,10.6
71,11.3,26.1,14.8
72,4.4,19.2,14.8
73,-3.4,11.5,14.9
74,2.4,17.9,15.5
75,9,21.7,12.7
76,14.1,27.3,13.2
77,17.9,27.7,9.8
78,18.7,29.4,10.7
79,10.7,23.8,13.1
80,1.6,18.3,16.7
81,-2.8,11.9,14.7
82,7.9,20.7,12.8
83,10.3,23.4,13.1
84,15,25,10
85,20.2,27.7,7.5
86,20.3,29.2,8.9
87,14.2,27.1,12.9
88,8,21,13
89,-3.2,11.1,14.3
90,3.4,19.2,15.8
91,8,22.5,14.5
92,14.8,27.6,12.8
93,18.9,28.5,9.6
94,18.8,28.7,9.9
95,16.1,26.4,10.3
96,4.9,18.7,13.8
97,-4,11,15
98,1.5,17,15.5
99,9.3,22.9,13.6
100,15.8,27.8,12
101,19.7,30,10.3
102,20.2,29,8.8
103,13,23.4,10.4
104,4.8,19.5,14.7
105,-4.2,9.4,13.6
106,2.3,19.4,17.1
107,9.8,24.7,14.9
108,15.9,26.9,11
109,19.9,29.9,10
110,18.7,30.8,12.1
111,11.2,26.5,15.3
112,6.9,20.4,13.5
113,-2.4,12.9,15.3
114,3.7,19.3,15.6
115,9.8,22.8,13
116,13.7,26.8,13.1
117,19.9,28.9,9
118,19.7,26.9,7.2
119,13.4,24.6,11.2
120,3.8,17.3,13.5
121,-1.7,10.6,12.3
122,4.5,17.8,13.3
123,10,24.2,14.2
124,15.4,25.7,10.3
125,17.9,27.1,9.2
126,18.9,27,8.1
127,14.6,24.3,9.7
128,3.5,18.8,15.3
129,-3.8,11.1,14.9
130,2.9,19.1,16.2
131,10,22.1,12.1
