day,min,max,dtr
1,-1.6,8.9,10.5
2,4.4,17.8,13.4
3,10.5,23.2,12.7
4,16.3,26.7,10.4
5,19.9,26.9,7
6,19.5,29.6,10.1
7,14,25.1,11.1
8,7.5,20.5,13
9,0,11.2,11.2
10,5.7,21.1,15.4
11,11,23.6,12.6
12,15,25.3,10.3
13,19.1,27.5,8.4
14,19.1,28.3,9.2
15,15,23.9,8.9
16,5.5,19.5,14
17,1.6,12.1,10.5
18,4.7,16.6,11.9
19,10.5,21.6,11.1
20,16.7,25.2,8.5
21,21.3,29.2,7.9
22,21.1,31,9.9
23,15.8,25.2,9.4
24,7.8,20.9,13.1
25,0,10,10
26,4.7,19.5,14.8
27,10,22.7,12.7
28,17.1,27,9.9
29,20.3,26.9,6.6
30,18.8,27.2,8.4
31,15,24.5,9.5
32,6.4,19.6,13.2
33,1,12.5,11.5
34,5.2,18.3,13.1
35,9.9,21.7,11.8
36,14.3,26.3,12
37,20,30.5,10.5
38,19.9,27.6,7.7
39,14.9,24.3,9.4
40,7.1,19.1,12
41,-0.8,11.2,12
42,5,17.9,12.9
43,10.6,23.2,12.6
44,16.6,25.8,9.2
45,18,25.5,7.5
46,17.9,25,7.1
47,13.4,25.1,11.7
48,5.8,18.7,12.9
49,-1.3,9,10.3
50,6.5,21.3,14.8
51,10.5,23,12.5
52,15.3,27.7,12.4
53,22.7,33.7,11
54,21.6,31.8,10.2
55,13.3,26.6,13.3
56,8.2,20.4,12.2
57,-0.2,11.3,11.5
58,3.8,18.9,15.1
59,9.2,22.7,13.5
60,14.6,25.7,11.1
61,20.1,29.3,9.2
62,21.4,31,9.6
63,12.9,23.5,10.6
64,7.9,20.8,12.9
65,-1,9.5,10.5
66,3.8,16.4,12.6
67,10.9,24.1,13.2
68,17.1,25.5,8.4
69,19.7,29.2,9.5
70,20.5,30.2,9.7
71,14,26.3,12.3
72,7.2,20,12.8
73,0,12.9,12.9
74,5.3,18.6,13.3
75,10.8,22.9,12.1
76,15.6,27.8,12.2
77,20.2,28.9,8.7
78,20.3,29,8.7
79,13.5,25.1,11.6
80,5.7,19.8,14.1
81,0.7,13.3,12.6
82,9.2,20.8,11.6
83,11.4,23.4,12
84,15.4,23.6,8.2
85,20.4,26.8,6.4
86,20.8,28,7.2
87,15.7,26.7,11
88,10.3,21.1,10.8
89,-0.3,12.5,12.8
90,5.8,19.9,14.1
91,10.5,23.5,13
92,16,27.5,11.5
93,19.4,27.3,7.9
94,20.2,27.9,7.7
95,17.5,25.8,8.3
96,7.2,18.9,11.7
97,-1.1,12.6,13.7
98,4.3,18.4,14.1
99,10.5,24.4,13.9
100,16.4,27.7,11.3
101,20.4,30.9,10.5
102,20.7,29.3,8.6
103,14.2,23.5,9.3
104,7.1,20,12.9
105,-1.5,11.9,13.4
106,4.5,21.3,16.8
107,11.8,25.3,13.5
108,16.8,27.9,11.1
109,20.5,31.3,10.8
110,19.8,31,11.2
111,13.2,26.8,13.6
112,9,20.8,11.8
113,0.9,14.8,13.9
114,6.1,21.1,15
115,10.5,23.2,12.7
116,14.5,28.3,13.8
117,20.4,29.1,8.7
118,20.1,26.9,6.8
119,14,25.3,11.3
120,5.7,18.2,12.5
121,-0.4,11.2,11.6
122,6,18.4,12.4
123,10.4,23.7,13.3
124,15.5,25.5,10
125,18.1,25.1,7
126,19.6,27.2,7.6
127,15.9,25.3,9.4
128,6.3,19.3,13
129,-0.9,12.6,13.5
130,5.4,20.4,15
131,11.4,23.1,11.7
132,15.6,27.5,11.9
133,20.8,29.6,8.8
134,20.2,28.9,8.7
135,15.2,25,9.8
136,6.7,20.9,14.2
137,-1.3,10.7,12
138,6.1,20.2,14.1
139,10.2,24.2,14
140,17,28.3,11.3
141,20.8,29.3,8.5
142,20.3,28.9,8.6
143,16.1,25.3,9.2
144,7.3,19,11.7
145,-1.1,11.4,12.5
146,4.7,16.5,11.8
147,10.8,23,12.2
148,15.4,27.1,11.7
149,19,25.8,6.8
150,21.1,31.4,10.3
151,12.3,23.9,11.6
152,8.6,23.4,14.8
153,0.7,11.8,11.1
154,4,17.7,13.7
155,10.6,23.7,13.1
156,15.3,26.4,11.1
157,19,26.4,7.4
158,20.9,29.2,8.3
159,16.1,23.4,7.3
160,7.9,19.4,11.5
