day,min,max,dtr
1,-2.1,9.8,11.9
2,3.7,18.4,14.7
3,11,24.6,13.6
4,17.8,28.6,10.8
5,20.9,28.7,7.8
6,21.1,31.3,10.2
7,14.8,26.6,11.8
8,6.9,21.1,14.2
9,-0.1,11.7,11.8
10,5.5,21.5,16
11,11.4,24.7,13.3
12,15.6,26.7,11.1
13,20.4,29.3,8.9
14,20.2,30,9.8
15,15.4,25.7,10.3
16,6.1,19.5,13.4
17,1.4,12.7,11.3
18,5.1,17.9,12.8
19,11.7,22.5,10.8
20,17.6,26.6,9
21,22.2,30.1,7.9
22,21.8,32,10.2
23,16.2,26.5,10.3
24,7.5,21.3,13.8
25,-0.5,11,11.5
26,4.6,20.9,16.3
27,10.6,24,13.4
28,18,28.7,10.7
29,20.6,28.5,7.9
30,20.2,29.8,9.6
31,15.3,25.4,10.1
32,5.6,20,14.4
33,0.7,12.8,12.1
34,4.5,18.9,14.4
35,9.9,22.1,12.2
36,14.9,26.7,11.8
37,21.1,30.4,9.3
38,20.4,29.5,9.1
39,15.4,25.3,9.9
40,7.3,19.1,11.8
41,-1.2,11.4,12.6
42,4.1,17.7,13.6
43,11.2,24.6,13.4
44,17.4,26.6,9.2
45,18.7,28,9.3
46,18.2,26.7,8.5
47,13.9,26.2,12.3
48,4.5,18.7,14.2
49,-2.9,9.1,12
50,4.8,22.3,17.5
51,10.4,24,13.6
52,15.5,28.1,12.6
53,22.9,33.7,10.8
54,21.2,32,10.8
55,12.7,25.4,12.7
56,6.8,19.9,13.1
57,-1.2,10.7,11.9
58,1.8,18.4,16.6
59,8.2,23.1,14.9
60,14.9,26.4,11.5
61,20.2,28.7,8.5
62,21.4,30.2,8.8
63,12.7,24.1,11.4
64,6.8,20.7,13.9
65,-2.4,9.2,11.6
66,1.8,16.5,14.7
67,9.6,24.3,14.7
68,17.9,26.4,8.5
69,19.9,29.5,9.6
70,20.7,29.9,9.2
71,14.3,26.9,12.6
72,6.7,19.9,13.2
73,-1.3,13,14.3
74,4.4,19.2,14.8
75,11,23.1,12.1
76,15.7,27.5,11.8
77,20.2,29.2,9
78,20.6,31,10.4
79,13.3,25.6,12.3
80,4.1,20,15.9
81,-0.4,14.4,14.8
82,9.5,22,12.5
83,11.8,24.7,12.9
84,16.4,26.1,9.7
85,21,29.1,8.1
86,21.1,29.6,8.5
87,16.1,27.8,11.7
88,9.5,21.7,12.2
89,-1.5,12.4,13.9
90,5.3,20.6,15.3
91,9.7,23.5,13.8
92,15.4,27.9,12.5
93,18.6,28.2,9.6
94,19.2,28.5,9.3
95,16.4,26,9.6
96,6.6,18.6,12
97,-2.3,12.2,14.5
98,2.9,17.6,14.7
99,10,23.4,13.4
100,16.2,27.3,11.1
101,21.4,31.8,10.4
102,21.9,30.9,9
103,14.7,24.9,10.2
104,7.1,20.6,13.5
105,-2,11.6,13.6
106,4.3,21.3,17
107,11.9,26.1,14.2
108,17.4,27.6,10.2
109,21.8,30.9,9.1
110,20.5,31.6,11.1
111,13.7,27.6,13.9
112,9,20.5,11.5
113,-0.3,13.6,13.9
114,5.6,19.9,14.3
115,11,23.3,12.3
116,15,27,12
117,20.8,29.4,8.6
118,20.6,27.2,6.6
119,14.4,25,10.6
120,5.3,16.9,11.6
121,-0.8,10.2,11
122,6,18.5,12.5
123,11.6,25.5,13.9
124,16.8,26.6,9.8
125,19.5,28,8.5
126,20.9,28.2,7.3
127,16.3,26,9.7
128,5.4,19.8,14.4
129,-1.5,12.2,13.7
130,5.2,20.4,15.2
131,12.2,23.7,11.5
132,17.2,29.2,12
133,22.3,30.1,7.8
134,21.5,30.9,9.4
135,15.8,26.7,10.9
136,6,21.3,15.3
137,-1.8,10.3,12.1
138,5.6,20.3,14.7
139,9.6,23.9,14.3
140,17.8,28.3,10.5
141,21.7,29.5,7.8
142,21.2,29.6,8.4
143,17.1,26.3,9.2
144,7.2,19.2,12
145,-1.8,11,12.8
146,4.2,16.8,12.6
147,11.1,23.1,12
148,16,26.9,10.9
149,19.9,26.5,6.6
150,21.9,31.6,9.7
151,13.6,25.7,12.1
152,8.8,23.3,14.5
153,-0.1,11.7,11.8
154,4.1,17.8,13.7
155,11.4,24.3,12.9
156,16.3,28.2,11.9
157,20.4,28,7.6
158,22.1,30.3,8.2
159,17.5,25.5,8
160,8.8,20.4,11.6
161,0.5,12.8,12.3
162,5.7,20.5,14.8
163,10.4,24.4,14
164,16.3,27.2,10.9
165,22.6,30.8,8.2
166,20.6,30.3,9.7
167,16,27.5,11.5
168,8.5,21.5,13
169,-0.2,12.4,12.6
170,4.9,19.4,14.5
171,11.2,25.4,14.2
172,16.6,28.1,11.5
173,20.2,28.7,8.5
174,20.2,29.9,9.7
175,15.4,26.3,10.9
176,7.3,21.4,14.1
177,-0.1,8.8,8.9
178,3,15.6,12.6
179,10.6,23.7,13.1
180,17.2,29,11.8
181,22,30.1,8.1
